2023-03-10 14:47:36,823 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 14:51:29,621 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 15:06:26,210 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 15:07:04,781 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 15:11:57,881 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 15:44:12,141 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 15:49:33,928 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 15:50:03,336 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 15:52:21,235 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 15:58:20,722 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 16:01:51,857 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 16:05:06,944 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 16:05:59,897 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 16:10:17,377 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 16:10:36,670 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 16:12:08,481 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 16:12:53,848 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
